Alabaster,_Alabama	Alabaster, Alabama	Alabaster	The City for Families
Elkhart,_Indiana	Elkhart, Indiana	Elkhart	City of Musical Doings 
Elkhart,_Indiana	Elkhart, Indiana	Elkhart	RV Capital of the World
Elwood,_Indiana	Elwood, Indiana	Elwood	Gem City of the 
Evansville,_Indiana	Evansville, Indiana	Evansville	Crescent City 
Evansville,_Indiana	Evansville, Indiana	Evansville	Pocket City 
Evansville,_Indiana	Evansville, Indiana	Evansville	River City 
Evansville,_Indiana	Evansville, Indiana	Evansville	Stoplight City 
Fort_Wayne,_Indiana	Fort Wayne, Indiana	Fort Wayne	City That Saved Itself
Fort_Wayne,_Indiana	Fort Wayne, Indiana	Fort Wayne	Summit City
Gary,_Indiana	Gary, Indiana	Gary	City of the Century
Gary,_Indiana	Gary, Indiana	Gary	City of Vision, People of Commitment
Gary,_Indiana	Gary, Indiana	Gary	Magic City
Gary,_Indiana	Gary, Indiana	Gary	Steel City
Huntington,_Indiana	Huntington, Indiana	Huntington	Lime City
Indianapolis	Indianapolis	Indianapolis	Amateur Sports Capital of the World
Indianapolis	Indianapolis	Indianapolis	Circle City
Indianapolis	Indianapolis	Indianapolis	Crossroads of America
Indianapolis	Indianapolis	Indianapolis	Indy
Indianapolis	Indianapolis	Indianapolis	Naptown
Indianapolis	Indianapolis	Indianapolis	Railroad City
Kokomo,_Indiana	Kokomo, Indiana	Kokomo	City of Firsts
Logansport,_Indiana	Logansport, Indiana	Logansport	City of Bridges 
Logansport,_Indiana	Logansport, Indiana	Logansport	City of Churches 
Marion,_Indiana	Marion, Indiana	Marion	Queen City or Queen City of the 
Mishawaka,_Indiana	Mishawaka, Indiana	Mishawaka	Peppermint Capital of the World 
Mishawaka,_Indiana	Mishawaka, Indiana	Mishawaka	Princess City
Peru,_Indiana	Peru, Indiana	Peru	Barbecue City
Peru,_Indiana	Peru, Indiana	Peru	Circus Capital of the World
Richmond,_Indiana	Richmond, Indiana	Richmond	Quaker City of the West
Roselawn,_Indiana	Roselawn, Indiana		Lotion City
Roselawn,_Indiana	Roselawn, Indiana		Metropolis of Northern Indiana
Roselawn,_Indiana	Roselawn, Indiana		Wagon City
Speedway,_Indiana	Speedway, Indiana	Speedway	Racing Capital of the World
Terre_Haute,_Indiana	Terre Haute, Indiana	Terre Haute	Queen City of the Wabash
Terre_Haute,_Indiana	Terre Haute, Indiana	Terre Haute	Crossroads of America (National Road/U.S. Route 40 and Dixie Bee Rd/U.S. Route 41 met in downtown)
Terre_Haute,_Indiana	Terre Haute, Indiana	Terre Haute	Prairie City (eastern edge of the Great Plains/prairies)
Terre_Haute,_Indiana	Terre Haute, Indiana	Terre Haute	Pittsburgh of the West (historical: city was an early steel center)
Valparaiso,_Indiana	Valparaiso, Indiana	Valparaiso	Vale of Paradise
Vincennes,_Indiana	Vincennes, Indiana	Vincennes	Indiana's First City (Vincennes is the oldest city in Indiana) 
Warsaw,_Indiana	Warsaw, Indiana	Warsaw	Lake City
Warsaw,_Indiana	Warsaw, Indiana	Warsaw	Orthopedic Capital of The World
Amesbury	Amesbury	Amesbury	Carriagetown
Athol,_Massachusetts	Athol, Massachusetts	Athol	Tool Town
Boston	Boston	Boston	Athens of America - Boston Brahmins' reference to the numerous cultural institutions which separated Boston from its counterparts
Boston	Boston	Boston	Beantown or Bean Town and variations 'The Bean', 'DA BEAN', BeanCity, B-town, etc
Boston	Boston	Boston	The Hub (or the Hub of the Universe)
Boston	Boston	Boston	City of Notions
Boston	Boston	Boston	The Cradle of Liberty
Boston	Boston	Boston	Puritan City
Brockton,_Massachusetts	Brockton, Massachusetts	Brockton	The City of Champions
Cambridge,_Massachusetts	Cambridge, Massachusetts	Cambridge	The People's Republic of Cambridge
Fall_River,_Massachusetts	Fall River, Massachusetts	Fall River	Scholarship City
Gardner,_Massachusetts	Gardner, Massachusetts	Gardner	Furniture Capital of New England
Hadley,_Massachusetts	Hadley, Massachusetts	Hadley	Asparagus Capital of the World
Holyoke,_Massachusetts	Holyoke, Massachusetts	Holyoke	Paper City
Lexington,_Massachusetts	Lexington, Massachusetts	Lexington	The Birthplace of American Liberty
Lowell,_Massachusetts	Lowell, Massachusetts	Lowell	City of Spindles
Lowell,_Massachusetts	Lowell, Massachusetts	Lowell	Manchester of America
Maynard,_Massachusetts	Maynard, Massachusetts	Maynard	Only in Maynard
Medfield,_Massachusetts	Medfield, Massachusetts	Medfield	The Whitest Town On Earth
Newburyport,_Massachusetts	Newburyport, Massachusetts	Newburyport	Clipper City
North_Adams,_Massachusetts	North Adams, Massachusetts	North Adams	The Tunnel City
North_Adams,_Massachusetts	North Adams, Massachusetts	North Adams	The Western Gateway
Northampton,_Massachusetts	Northampton, Massachusetts	Northampton	Hamp
Northampton,_Massachusetts	Northampton, Massachusetts	Northampton	Noho
Orange,_Massachusetts	Orange, Massachusetts	Orange	The Friendly Town
Peabody,_Massachusetts	Peabody, Massachusetts	Peabody	Leather City
Plymouth,_Massachusetts	Plymouth, Massachusetts	Plymouth	America's Hometown
Provincetown,_Massachusetts	Provincetown, Massachusetts	Provincetown	The Key West of the Cape
Provincetown,_Massachusetts	Provincetown, Massachusetts	Provincetown	Like Nowhere Else
Provincetown,_Massachusetts	Provincetown, Massachusetts	Provincetown	P-Town
Quincy,_Massachusetts	Quincy, Massachusetts	Quincy	City of Presidents
Quincy,_Massachusetts	Quincy, Massachusetts	Quincy	Q-Town
Salem,_Massachusetts	Salem, Massachusetts	Salem	City of Peace
Salem,_Massachusetts	Salem, Massachusetts	Salem	City of Witches
Salem,_Massachusetts	Salem, Massachusetts	Salem	The Witch City
Somerville,_Massachusetts	Somerville, Massachusetts	Somerville	Slummerville
Springfield,_Massachusetts	Springfield, Massachusetts	Springfield	Birthplace of Basketball
Taunton,_Massachusetts	Taunton, Massachusetts	Taunton	The Silver City
Taunton,_Massachusetts	Taunton, Massachusetts	Taunton	The Christmas City
Taunton,_Massachusetts	Taunton, Massachusetts	Taunton	City of Firsts
Waltham,_Massachusetts	Waltham, Massachusetts	Waltham	Watch City
Westfield,_Massachusetts	Westfield, Massachusetts	Westfield	The Whip City
Williamstown,_Massachusetts	Williamstown, Massachusetts	Williamstown	The Village Beautiful
Winchester,_Massachusetts	Winchester, Massachusetts	Winchester	Toy Town
Winchester,_Massachusetts	Winchester, Massachusetts	Winchester	City of Kings
Worcester,_Massachusetts	Worcester, Massachusetts	Worcester	City of Seven Hills
Worcester,_Massachusetts	Worcester, Massachusetts	Worcester	Wormtown
Alma,_Michigan	Alma, Michigan	Alma	Scotland, USA
Ann_Arbor,_Michigan	Ann Arbor, Michigan	Ann Arbor	A
Ann_Arbor,_Michigan	Ann Arbor, Michigan	Ann Arbor	Tree Town
Atlanta,_Michigan	Atlanta, Michigan	Atlanta	Elk Capital of Michigan
Battle_Creek,_Michigan	Battle Creek, Michigan	Battle Creek	Breakfast Capital of the World 
Battle_Creek,_Michigan	Battle Creek, Michigan	Battle Creek	Cereal Bowl of the World
Battle_Creek,_Michigan	Battle Creek, Michigan	Battle Creek	Cereal City
Beaver_Island,_Michigan	Beaver Island, Michigan	Beaver Island	America's Emerald Isle
Belding,_Michigan	Belding, Michigan	Belding	Apple Capital
Belding,_Michigan	Belding, Michigan	Belding	Silk City
Berrien_Springs,_Michigan	Berrien Springs, Michigan	Berrien Springs	Christmas Pickle Capital of the World
Champion,_Michigan	Champion, Michigan	Champion	Horse Pulling Capital of the U.P
Colon,_Michigan	Colon, Michigan	Colon	Magic Capital of the World
Davison,_Michigan	Davison, Michigan		The D 
Davison,_Michigan	Davison, Michigan		America's Comeback City 
Davison,_Michigan	Davison, Michigan		Amityville 
Davison,_Michigan	Davison, Michigan		Arsenal of Democracy
Davison,_Michigan	Davison, Michigan		City of Trees
Davison,_Michigan	Davison, Michigan		City of the Straits
Davison,_Michigan	Davison, Michigan		Hitsville, USA 
Davison,_Michigan	Davison, Michigan		Hockeytown
Davison,_Michigan	Davison, Michigan		The Motor City
Davison,_Michigan	Davison, Michigan		Motown
Davison,_Michigan	Davison, Michigan		The 313 
Davison,_Michigan	Davison, Michigan		The Paris of the Midwest
Davison,_Michigan	Davison, Michigan		The Renaissance City
Eau_Claire,_Michigan	Eau Claire, Michigan	Eau Claire	Cherry Pit Spitting Capital of the World
Fairview,_Michigan	Fairview, Michigan	Fairview	Wild Turkey Capital of Michigan
Flint,_Michigan	Flint, Michigan	Flint	(The) Auto City
Flint,_Michigan	Flint, Michigan	Flint	The Birthplace of General Motors
Flint,_Michigan	Flint, Michigan	Flint	(The) Vehicle City
Frankenmuth,_Michigan	Frankenmuth, Michigan	Frankenmuth	Michigan's Little Bavaria
Gaylord,_Michigan	Gaylord, Michigan	Gaylord	The Alpine Village
Greenville,_Michigan	Greenville, Michigan	Greenville	The Danish Festival City
Grand_Rapids,_Michigan	Grand Rapids, Michigan	Grand Rapids	Furniture City
Hamtramck,_Michigan	Hamtramck, Michigan	Hamtramck	City Within the City
Jackson,_Michigan	Jackson, Michigan	Jackson	Birthplace of the Republican Party
Kalamazoo,_Michigan	Kalamazoo, Michigan	Kalamazoo	Bedding Plant Capital of the World
Kalamazoo,_Michigan	Kalamazoo, Michigan	Kalamazoo	Celery City
Kalamazoo,_Michigan	Kalamazoo, Michigan	Kalamazoo	Kazoo (or K’Zoo) 
Kalamazoo,_Michigan	Kalamazoo, Michigan	Kalamazoo	Mall City (First outdoor pedestrian mall in the US)
Kalamazoo,_Michigan	Kalamazoo, Michigan	Kalamazoo	The Paper City
Mesick,_Michigan	Mesick, Michigan	Mesick	Mushroom Capital of the World
Mount_Clemens,_Michigan	Mount Clemens, Michigan	Mount Clemens	Bath City
Muskegon,_Michigan	Muskegon, Michigan	Muskegon	The Beer Tent Capital of the World
Muskegon,_Michigan	Muskegon, Michigan	Muskegon	Port City
Muskegon,_Michigan	Muskegon, Michigan	Muskegon	The Riviera of the Midwest
Muskegon,_Michigan	Muskegon, Michigan	Muskegon	Lumber Queen of the World
Newberry,_Michigan	Newberry, Michigan	Newberry	Moose Capital of Michigan
Niles,_Michigan	Niles, Michigan	Niles	The City of Four Flags
Niles,_Michigan	Niles, Michigan	Niles	Garden City
Northville,_Michigan	Northville, Michigan	Northville	Hamlet of the Hills, Switzerland of Wayne County
Omer,_Michigan	Omer, Michigan	Omer	Michigan's Smallest City
Onaway,_Michigan	Onaway, Michigan	Onaway	Sturgeon Capital of Michigan
Paradise,_Michigan	Paradise, Michigan	Paradise	Wild Blueberry Capital of Michigan
Pellston,_Michigan	Pellston, Michigan	Pellston	Icebox of the Nation
Pinconning,_Michigan	Pinconning, Michigan	Pinconning	Cheese Capital of Michigan
Romulus,_Michigan	Romulus, Michigan	Romulus	Speed Trap City 
Romulus,_Michigan	Romulus, Michigan	Romulus	Gateway to The World 
Saint_Johns,_Michigan	Saint Johns, Michigan	Saint Johns	The Mint City
Saint_Louis,_Michigan	Saint Louis, Michigan	Saint Louis	Middle of the Mitten
Sault_Ste._Marie,_Michigan	Sault Ste. Marie, Michigan	Sault Ste. Marie	The Soo 
Sault_Ste._Marie,_Michigan	Sault Ste. Marie, Michigan	Sault Ste. Marie	Michigan's Oldest City (founded 1668) 
South_Haven,_Michigan	South Haven, Michigan	South Haven	Blueberry Capital of the World
Traverse_City,_Michigan	Traverse City, Michigan	Traverse City	Cherry Capital of the World
Atlantic_City,_New_Jersey	Atlantic City, New Jersey	Atlantic City	A.C
Atlantic_City,_New_Jersey	Atlantic City, New Jersey	Atlantic City	America's Playground
Burlington_Township,_New_Jersey	Burlington Township, New Jersey	Burlington Township	The County's Town
Burlington_Township,_New_Jersey	Burlington Township, New Jersey	Burlington Township	The Coat Town
Burlington_Township,_New_Jersey	Burlington Township, New Jersey	Burlington Township	The Falcon's Nest
Burlington_Township,_New_Jersey	Burlington Township, New Jersey	Burlington Township	B-Township
Byram_Township,_New_Jersey	Byram Township, New Jersey	Byram Township	The Township of Lakes
Cranford,_New_Jersey	Cranford, New Jersey	Cranford	The Venice of New Jersey
Denville,_New_Jersey	Denville, New Jersey	Denville	Hub of Morris County
Elizabeth,_New_Jersey	Elizabeth, New Jersey	Elizabeth	Eastwick
Fortescue,_New_Jersey	Fortescue, New Jersey	Fortescue	Weakfish Capital of the World
Fort_Lee,_New_Jersey	Fort Lee, New Jersey	Fort Lee	The Birthplace of the Motion Picture Industry
Franklin,_New_Jersey	Franklin, New Jersey	Franklin	Fluorescent Mineral Capital of the World
Garwood,_New_Jersey	Garwood, New Jersey	Garwood	The Industrial Center of Union County
Hackensack,_New_Jersey	Hackensack, New Jersey	Hackensack	A City in Motion
Hammonton,_New_Jersey	Hammonton, New Jersey	Hammonton	Blueberry Capital of the World
Hoboken,_New_Jersey	Hoboken, New Jersey	Hoboken	The Mile Square City
Jersey_City,_New_Jersey	Jersey City, New Jersey	Jersey City	Chilltown 
Jersey_City,_New_Jersey	Jersey City, New Jersey	Jersey City	Jungle City
Jersey_City,_New_Jersey	Jersey City, New Jersey	Jersey City	Wall Street West
Jersey_City,_New_Jersey	Jersey City, New Jersey	Jersey City	The Sixth Borough
Keansburg,_New_Jersey	Keansburg, New Jersey	Keansburg	Gem of the Bayshore
Long_Beach_Island	Long Beach Island	Long Beach Island	LBI
Long_Branch,_New_Jersey	Long Branch, New Jersey	Long Branch	America's First Seaside Resort
Long_Branch,_New_Jersey	Long Branch, New Jersey	Long Branch	The Friendly City
Madison,_New_Jersey	Madison, New Jersey	Madison	The Rose City
New_Brunswick,_New_Jersey	New Brunswick, New Jersey	New Brunswick	Health Care City
New_Brunswick,_New_Jersey	New Brunswick, New Jersey	New Brunswick	Hub City
Newark,_New_Jersey	Newark, New Jersey	Newark	Brick City
Ocean_City,_New_Jersey	Ocean City, New Jersey	Ocean City	America's Greatest Family Resort
Ocean_City,_New_Jersey	Ocean City, New Jersey	Ocean City	A Moral Seaside Resort (historic slogan from the 19th century)
Paterson,_New_Jersey	Paterson, New Jersey	Paterson	Silk City
Perth_Amboy,_New_Jersey	Perth Amboy, New Jersey	Perth Amboy	City by the Bay
Plainfield,_New_Jersey	Plainfield, New Jersey	Plainfield	Queen City
Rutherford,_New_Jersey	Rutherford, New Jersey	Rutherford	Borough of Trees
Rutherford,_New_Jersey	Rutherford, New Jersey	Rutherford	The First Borough of Bergen County
Seaside_Heights,_New_Jersey	Seaside Heights, New Jersey	Seaside Heights	Your Home For Family Fun Since 1913!
Spring_Lake	Spring Lake	Spring Lake	The Irish Riviera
Union_City,_New_Jersey	Union City, New Jersey	Union City	Embroidery Capital of the United States
Union_City,_New_Jersey	Union City, New Jersey	Union City	Havana on the Hudson
Vineland,_New_Jersey	Vineland, New Jersey	Vineland	Dandelion Capital of the World
Albany,_New_York	Albany, New York	Albany	Cradle of the Union
Amsterdam_(city),_New_York	Amsterdam (city), New York	Amsterdam	The Carpet City
Binghamton,_New_York	Binghamton, New York	Binghamton	Parlor City
Binghamton,_New_York	Binghamton, New York	Binghamton	Carousel Capital of the World
Brooklyn	Brooklyn	Brooklyn	The Borough of Churches (originally City of Churches when a separate city from NYC)
Brooklyn	Brooklyn	Brooklyn	The Borough of Trees
Buffalo,_New_York	Buffalo, New York	Buffalo	The City of Good Neighbors
Buffalo,_New_York	Buffalo, New York	Buffalo	The City of Light
Buffalo,_New_York	Buffalo, New York	Buffalo	The Nickel City 
Buffalo,_New_York	Buffalo, New York	Buffalo	The Queen City
Chazy,_New_York	Chazy, New York	Chazy, New York	The World Capital of McIntosh Apples
Cooperstown,_New_York	Cooperstown, New York	Cooperstown	Birthplace of Baseball
Corinth,_New_York	Corinth, New York	Corinth	Snowshoe Capital of the World
Corning_(city),_New_York	Corning (city), New York	Corning	The Crystal City
Cortland,_New_York	Cortland, New York	Cortland	The Crown City
Elba,_New_York	Elba, New York	Elba	Onion Capital of the World
Elmira,_New_York	Elmira, New York	Elmira	Soaring Capital of the World
Florida,_Orange_County,_New_York	Florida, Orange County, New York	Florida	The Onion Capital of the World
Fulton,_Oswego_County,_New_York	Fulton, Oswego County, New York	Fulton	City With a Future
Geneva,_New_York	Geneva, New York	Geneva	Lake Trout Capital of the World
Granville,_New_York	Granville, New York	Granville	Slate Capital of the World
Hammondsport,_New_York	Hammondsport, New York	Hammondsport	Cradle of Aviation
Haverstraw_(village),_New_York	Haverstraw (village), New York	Haverstraw	Bricktown or Brickmaking Capital of the World
Hornell,_New_York	Hornell, New York	Hornell	The Maple City
Hurley_(town),_New_York	Hurley (town), New York	Hurley (town), New York	Sweet Corn Capital of the World
Jamestown,_New_York	Jamestown, New York	Jamestown	Jimmytown
Lockport_(city),_New_York	Lockport (city), New York	Lockport	Lock City
Long_Beach_(city),_New_York	Long Beach (city), New York	Long Beach	World's Healthiest City. 
Nanuet	Nanuet	Nanuet	The Bubble
New_Rochelle,_New_York	New Rochelle, New York	New Rochelle	Queen City of The Sound 
New_Rochelle,_New_York	New Rochelle, New York	New Rochelle	The City of Huguenots 
New_Rochelle,_New_York	New Rochelle, New York	New Rochelle	The City of Parks 
New_York_City	New York City	New York City	The Big Apple
New_York_City	New York City	New York City	The Capital of The World
New_York_City	New York City	New York City	The City So Nice, They Named It Twice
New_York_City	New York City	New York City	The City That Never Sleeps
New_York_City	New York City	New York City	Empire City
New_York_City	New York City	New York City	Gotham 
Niagara_Falls,_New_York	Niagara Falls, New York	Niagara Falls	Cataract City
North_Tonawanda,_New_York	North Tonawanda, New York	North Tonawanda	Lumber City
Ogdensburg,_New_York	Ogdensburg, New York	Ogdensburg	The Maple City (19th century)
Ogdensburg,_New_York	Ogdensburg, New York	Ogdensburg	The New York of the North (mid-19th century)
Phelps,_New_York	Phelps, New York	Phelps	Sauerkraut Capital
Plattsburgh,_New_York	Plattsburgh, New York	Plattsburgh	Ville Sur Le Lac (Historical)
Plattsburgh,_New_York	Plattsburgh, New York	Plattsburgh	The Lake City (Contemporary)
Poughkeepsie	Poughkeepsie	Poughkeepsie	Queen city of the Hudson
Poughkeepsie	Poughkeepsie	Poughkeepsie	Po-Town
Rhinebeck,_New_York	Rhinebeck, New York	Rhinebeck	Anemone Capital of the World
Rochester,_New_York	Rochester, New York	Rochester	The Flour City (historical)
Rochester,_New_York	Rochester, New York	Rochester	The Flower City (contemporary)
Rochester,_New_York	Rochester, New York	Rochester	Ra-Cha-Cha 
Rochester,_New_York	Rochester, New York	Rochester	Snapshot City
Rochester,_New_York	Rochester, New York	Rochester	Young Lion of the West
Rochester,_New_York	Rochester, New York	Rochester	Roc City
Rochester,_New_York	Rochester, New York	Rochester	The World's Image Centre (1990's)
Roscoe,_New_York	Roscoe, New York	Roscoe	Trout Town USA
Saratoga_Springs,_New_York	Saratoga Springs, New York	Saratoga Springs	The Spa City
Schenectady,_New_York	Schenectady, New York	Schenectady	Electric City
Schenectady,_New_York	Schenectady, New York	Schenectady	The City That Lights And Hauls The World
Staten_Island	Staten Island	Staten Island	The Borough of Parks
Staten_Island	Staten Island	Staten Island	The Forgotten Borough
Staten_Island	Staten Island	Staten Island	Shaolin
Syracuse,_New_York	Syracuse, New York	Syracuse	Salt City
Troy,_New_York	Troy, New York	Troy	The Collar City
Watertown,_New_York	Watertown, New York	Watertown	The Garland City
Westfield,_New_York	Westfield, New York	Westfield	Grape Juice Capital of the World
Yonkers,_New_York	Yonkers, New York	Yonkers	The Terrace City
Yonkers,_New_York	Yonkers, New York	Yonkers	Junkers
Yonkers,_New_York	Yonkers, New York	Yonkers	Yonk-a-tonk
Yonkers,_New_York	Yonkers, New York	Yonkers	Y.O
Yonkers,_New_York	Yonkers, New York	Yonkers	D-Block
Yonkers,_New_York	Yonkers, New York	Yonkers	The Lost Borough
Akron,_Ohio	Akron, Ohio	Akron	City of Invention
Akron,_Ohio	Akron, Ohio	Akron	Rubber Capital of the World
Akron,_Ohio	Akron, Ohio	Akron	Rubber City
Akron,_Ohio	Akron, Ohio	Akron	Summit City
Akron,_Ohio	Akron, Ohio	Akron	Tire City
Alliance,_Ohio	Alliance, Ohio	Alliance	Carnation City
Amherst,_Ohio	Amherst, Ohio	Amherst	Sandstone Capital of the World
Barberton,_Ohio	Barberton, Ohio	Barberton	Magic City
Bucyrus,_Ohio	Bucyrus, Ohio	Bucyrus	Bratwurst Capital of the World
Canton,_Ohio	Canton, Ohio	Canton	America's Playing Field
Chillicothe,_Ohio	Chillicothe, Ohio	Chillicothe	Ohio's First Capital
Cambridge,_Ohio	Cambridge, Ohio	Cambridge	The Queen City
Cambridge,_Ohio	Cambridge, Ohio	Cambridge	The Queen of the West
Cambridge,_Ohio	Cambridge, Ohio	Cambridge	The Blue Chip City
Cambridge,_Ohio	Cambridge, Ohio	Cambridge	The City of Seven Hills
Cambridge,_Ohio	Cambridge, Ohio	Cambridge	Cincy (or Cinci)
Cambridge,_Ohio	Cambridge, Ohio	Cambridge	Paris of America
Cambridge,_Ohio	Cambridge, Ohio	Cambridge	Porkopolis
Circleville,_Ohio	Circleville, Ohio	Circleville	Round Town 
Cleveland,_Ohio	Cleveland, Ohio	Cleveland	America's Comeback City
Cleveland,_Ohio	Cleveland, Ohio	Cleveland	America's North Coast
Cleveland,_Ohio	Cleveland, Ohio	Cleveland	C-Town
Cleveland,_Ohio	Cleveland, Ohio	Cleveland	The Forest City
Cleveland,_Ohio	Cleveland, Ohio	Cleveland	The Best Location in the Nation
Cleveland,_Ohio	Cleveland, Ohio	Cleveland	The Cleve (nickname used in TV show 30 Rock)
Cleveland,_Ohio	Cleveland, Ohio	Cleveland	The Heart of New Connecticut
Cleveland,_Ohio	Cleveland, Ohio	Cleveland	Metropolis of the Western Reserve
Cleveland,_Ohio	Cleveland, Ohio	Cleveland	The Mistake on the Lake
Cleveland,_Ohio	Cleveland, Ohio	Cleveland	The New American City
Columbus,_Ohio	Columbus, Ohio	Columbus	The Arch City
Columbus,_Ohio	Columbus, Ohio	Columbus	C-Bus
Columbus,_Ohio	Columbus, Ohio	Columbus	Cowtown
Columbus,_Ohio	Columbus, Ohio	Columbus	The Discovery City
Columbus,_Ohio	Columbus, Ohio	Columbus	Indie Arts Capital of the World
Columbus,_Ohio	Columbus, Ohio	Columbus	Somaliwood
Columbus,_Ohio	Columbus, Ohio	Columbus	Test Market, USA
Dayton,_Ohio	Dayton, Ohio	Dayton	The Gem City
Dayton,_Ohio	Dayton, Ohio	Dayton	Birthplace of Aviation (commemorates the Wright brothers, who invented the airplane in their bicycle shop in Dayton)
Delphos,_Ohio	Delphos, Ohio	Delphos	America’s Friendliest City
Findlay,_Ohio	Findlay, Ohio	Findlay	Flag City
Fremont,_Ohio	Fremont, Ohio	Fremont	Cutlery Capitol of the World
Gahanna,_Ohio	Gahanna, Ohio	Gahanna	Ohio’s Herb Capital
Kent,_Ohio	Kent, Ohio	Kent	The Tree City
Lebanon,_Ohio	Lebanon, Ohio	Lebanon	Little Switzerland of the Miami Valley
Marion,_Ohio	Marion, Ohio	Marion	World's Popcorn Capital
Norwalk,_Ohio	Norwalk, Ohio	Norwalk	The Maple City
Pickerington,_Ohio	Pickerington, Ohio	Pickerington	Violet Capital of Ohio
Port_Clinton,_Ohio	Port Clinton, Ohio	Port Clinton	Walleye Capital of the World
Reynoldsburg,_Ohio	Reynoldsburg, Ohio	Reynoldsburg	Birthplace of the Tomato 
Sandusky,_Ohio	Sandusky, Ohio	Sandusky	The Roller Coaster Capital of the World
Sabina,_Ohio	Sabina, Ohio	Sabina	The Eden of Ohio
Strongsville,_Ohio	Strongsville, Ohio	Strongsville	Crossroads of the Nation 
Sugarcreek,_Ohio	Sugarcreek, Ohio	Sugarcreek	The Little Switzerland of Ohio
Toledo,_Ohio	Toledo, Ohio	Toledo	Corn City
Toledo,_Ohio	Toledo, Ohio	Toledo	Frogtown USA
Toledo,_Ohio	Toledo, Ohio	Toledo	The Glass City
Toledo,_Ohio	Toledo, Ohio	Toledo	Glass Capital of the World
Toledo,_Ohio	Toledo, Ohio	Toledo	The Solar Valley
Valley_City,_Ohio	Valley City, Ohio	Valley City	Frog Jump Capital of Ohio
Waynesville,_Ohio	Waynesville, Ohio	Waynesville	Antique capital of the Midwest
Willard,_Ohio	Willard, Ohio	Willard	City of Blossoms
Xenia,_Ohio	Xenia, Ohio	Xenia	Twine City
Zanesville,_Ohio	Zanesville, Ohio	Zanesville	City of Natural Advantages
Zanesville,_Ohio	Zanesville, Ohio	Zanesville	Clay City or Pottery Capital of the World 
Abilene,_Texas	Abilene, Texas	Abilene	The Key City
Abilene,_Texas	Abilene, Texas	Abilene	Lene Town (used in hip-hop culture)
Alpine,_Texas	Alpine, Texas	Alpine	Gateway to the 
Anahuac,_Texas	Anahuac, Texas	Anahuac	Alligator Capital of Texas
Anthony,_Texas	Anthony, Texas	Anthony	Leap Year Capital of the World (shared with 
Athens,_Texas	Athens, Texas	Athens	Blackeyed Pea Capital of the World
Austin,_Texas	Austin, Texas	Austin	Bat City 
Austin,_Texas	Austin, Texas	Austin	City of the Violet Crown
Austin,_Texas	Austin, Texas	Austin	Keep Austin Weird
Austin,_Texas	Austin, Texas	Austin	Live Music Capital of the World 
Baird,_Texas	Baird, Texas	Baird	Antique Capital of Texas
Bandera,_Texas	Bandera, Texas	Bandera	Cowboy Capital of the World
Bertram,_Texas	Bertram, Texas	Bertram	Home of the Oatmeal Festival
Breckenridge,_Texas	Breckenridge, Texas	Breckenridge	Mural Capital of Texas
Brownsville,_Texas	Brownsville, Texas	Brownsville	Chess Capital of Texas
Buda,_Texas	Buda, Texas	Buda	Outdoor Capital of Texas
Caldwell,_Texas	Caldwell, Texas	Caldwell	Kolache Capital of Texas
Clifton,_Texas	Clifton, Texas	Clifton	Norwegian Capital of Texas
College_Station,_Texas	College Station, Texas	College Station	Aggieland
Commerce,_Texas	Commerce, Texas	Commerce	
Corsicana,_Texas	Corsicana, Texas	Corsicana	Fruit Cake Capital of the World
Crystal_City,_Texas	Crystal City, Texas	Crystal City	Spinach Capital of the World
Cuero,_Texas	Cuero, Texas	Cuero	Turkey Capital of the World
Dallas	Dallas	Dallas	The Big D
Danevang,_Texas	Danevang, Texas	Danevang	Danish Capital of Texas
Denison,_Texas	Denison, Texas	Denison	Wine Root Stock Capital of the World
Denton,_Texas	Denton, Texas	Denton	Redbud Capital of Texas
Dickens,_Texas	Dickens, Texas	Dickens	Wild Boar Capital
Dublin,_Texas	Dublin, Texas	Dublin	Irish Capital of Texas
Duncanville,_Texas	Duncanville, Texas	Duncanville	City of Champions
Eagle_Lake,_Texas	Eagle Lake, Texas	Eagle Lake	Goose Hunting Capital of the World
Eagle_Pass,_Texas	Eagle Pass, Texas	Eagle Pass	Where Yee-Ha Meets Olé
Electra,_Texas	Electra, Texas	Electra	Pump Jack Capital of Texas
Elgin,_Texas	Elgin, Texas	Elgin	Sausage Capital of Texas
El_Paso,_Texas	El Paso, Texas	El Paso	The City With a Legend
El_Paso,_Texas	El Paso, Texas	El Paso	El Chuco
El_Paso,_Texas	El Paso, Texas	El Paso	The Sun City
Ennis,_Texas	Ennis, Texas	Ennis	Bluebonnet City
Floydada,_Texas	Floydada, Texas	Floydada	Pumpkin Capital
Fort_Davis,_Texas	Fort Davis, Texas	Fort Davis	Where the Stars Come Out to Play
Fort_Worth,_Texas	Fort Worth, Texas	Fort Worth	Cowtown 
Fort_Worth,_Texas	Fort Worth, Texas	Fort Worth	Panther City
Fort_Worth,_Texas	Fort Worth, Texas	Fort Worth	Queen City of the Prairie
Fort_Worth,_Texas	Fort Worth, Texas	Fort Worth	Where the West Begins
Fredericksburg,_Texas	Fredericksburg, Texas	Fredericksburg	Polka Capital of Texas
Friona,_Texas	Friona, Texas	Friona	Cheeseburger Capital of Texas
Galveston,_Texas	Galveston, Texas	Galveston	Oleander City
Gatesville,_Texas	Gatesville, Texas	Gatesville	Spur Capital of Texas
