national security adviser	TITLE	153
justices	TITLE	151
love	TITLE	151
press secretary	TITLE	151
the big game hunter	TITLE	150
world record holder	TITLE	149
wicketkeeper	TITLE	147
dame	TITLE	147
pitcher	TITLE	146
provincial police chief	TITLE	145
immigration minister	TITLE	144
rebel leader	TITLE	143
party leader	TITLE	142
central bank governor	TITLE	142
trainer	TITLE	141
keyboardist	TITLE	140
military spokesman	TITLE	140
grand champion	TITLE	139
energy minister	TITLE	139
regards	TITLE	139
majority leader	TITLE	139
reliever	TITLE	138
senators	TITLE	138
art	TITLE	138
_	TITLE	138
defensive end	TITLE	137
safety	TITLE	136
outgoing prime minister	TITLE	135
outgoing president	TITLE	135
mrs	TITLE	134
reps.	TITLE	134
cabinet minister	TITLE	133
artistic director	TITLE	133
house minority leader	TITLE	132
lady	TITLE	132
deputy defense minister	TITLE	131
federal prosecutor	TITLE	131
national police chief	TITLE	130
warm regards	TITLE	130
fairest lord	TITLE	130
pres.	TITLE	128
compatriot	TITLE	128
lord justice	TITLE	127
special assistant	TITLE	127
legislative yuan speaker	TITLE	127
sex guru	TITLE	126
allrounder	TITLE	125
former rep.	TITLE	125
read	TITLE	125
sports minister	TITLE	125
as president	TITLE	124
neighbor	TITLE	124
songwriter	TITLE	123
team manager	TITLE	122
newcomer	TITLE	122
state prosecutor	TITLE	122
roman	TITLE	121
lance cpl.	TITLE	121
solo artist	TITLE	120
pop star	TITLE	120
astronaut	TITLE	119
pinch-hitter	TITLE	118
crown prince	TITLE	118
whenever	TITLE	118
bollywood star	TITLE	117
pace bowler	TITLE	117
district judge	TITLE	117
former mayor	TITLE	115
writer-director	TITLE	115
veteran striker	TITLE	114
national police spokesman	TITLE	114
two-time world champion	TITLE	114
mp	TITLE	114
environment secretary	TITLE	113
military ruler	TITLE	113
profit	TITLE	110
openers	TITLE	110
prop	TITLE	109
candidate	TITLE	107
army gen.	TITLE	107
foreign affairs minister	TITLE	107
opposition lawmaker	TITLE	107
titus	TITLE	106
unseeded	TITLE	105
house majority leader	TITLE	105
ap writers	TITLE	104
c	TITLE	104
campaign manager	TITLE	104
point guard	TITLE	103
hollywood star	TITLE	102
qualifier	TITLE	102
scrumhalf	TITLE	101
talk show host	TITLE	101
pentagon press secretary	TITLE	101
globe correspondent	TITLE	100
m	TITLE	100
former governor	TITLE	100
college student	TITLE	100
arsenal striker	TITLE	99
tourism minister	TITLE	99
former defense minister	TITLE	98
opposition spokesman	TITLE	98
local police chief	TITLE	98
chief of emergency	TITLE	97
passenger	TITLE	97
president	TITLE	96
freelance writer	TITLE	96
§	TITLE	95
police inspector	TITLE	95
prof	TITLE	95
activist	TITLE	95
founder	TITLE	95
interior ministry spokesman	TITLE	95
army commander gen.	TITLE	94
energy secretary	TITLE	94
high court judge	TITLE	93
sagar	TITLE	93
